name,region,rating,Red Wine_Collectible,Red Wine_Green Wine,Red Wine_Pink and Rosé,Red Wine_Red Wine,Red Wine_Screw Cap,Red Wine_Sparkling & Champagne,Red Wine_White Wine
1000 Stories Bourbon Barrel Aged Batch Blue Carignan 2016,"Mendocino, California",91.0,False,False,False,True,False,False,False
1000 Stories Bourbon Barrel Aged Gold Rush Red 2016,California,89.0,False,False,False,True,False,False,False
1000 Stories Bourbon Barrel Aged Gold Rush Red 2017,California,90.0,False,False,False,True,False,False,False
1000 Stories Bourbon Barrel Aged Zinfandel 2013,"North Coast, California",91.0,False,False,False,True,False,False,False
1000 Stories Bourbon Barrel Aged Zinfandel 2014,California,90.0,False,False,False,True,False,False,False
1000 Stories Bourbon Barrel Aged Zinfandel 2016,California,91.0,False,False,False,True,False,False,False
1000 Stories Bourbon Barrel Aged Zinfandel 2017,California,92.0,False,False,False,True,False,False,False
12 Linajes Crianza 2014,"Ribera del Duero, Spain",92.0,False,False,False,True,False,False,False
12 Linajes Reserva 2012,"Ribera del Duero, Spain",94.0,False,False,False,True,False,False,False
14 Hands Cabernet Sauvignon 2010,"Columbia Valley, Washington",87.0,False,False,False,True,False,False,False
14 Hands Cabernet Sauvignon 2011,"Columbia Valley, Washington",89.0,False,False,False,True,False,False,False
14 Hands Cabernet Sauvignon 2015,"Columbia Valley, Washington",89.0,False,False,False,True,False,False,False
14 Hands Chardonnay 2011,Washington,89.0,False,False,False,False,False,False,True
14 Hands Hot to Trot Red Blend 2010,Washington,88.0,False,False,False,True,False,False,False
14 Hands Hot to Trot Red Blend 2012,Washington,88.0,False,False,False,True,False,False,False
14 Hands Merlot 2012,"Columbia Valley, Washington",89.0,False,False,False,True,False,False,False
14 Hands Riesling 2014,Washington,88.0,False,False,False,False,False,False,True
14 Hands Riesling 2015,Washington,88.0,False,False,False,False,False,False,True
14 Hands Riesling 2016,Washington,88.0,False,False,False,False,False,False,True
14 Hands Stampede Red Blend 2014,"Columbia Valley, Washington",89.0,False,False,False,True,False,False,False
1849 Declaration Napa Valley Cabernet Sauvignon 2014,"Napa Valley, California",91.0,False,False,False,True,False,False,False
1849 Iris Pinot Noir 2016,"Sonoma Coast, Sonoma County, California",90.0,False,False,False,True,False,False,False
1865 Selected Vineyards Cabernet Sauvignon 2014,"Maipo Valley, Chile",91.0,False,False,False,True,False,False,False
1865 Selected Vineyards Cabernet Sauvignon 2015,"Maipo Valley, Chile",91.0,False,False,False,True,False,False,False
1865 Selected Vineyards Carmenere 2011,Chile,91.0,False,False,False,True,False,False,False
1865 Single Vineyard Cabernet Sauvignon 2011,Chile,91.0,False,False,False,True,False,False,False
1865 Single Vineyard Sauvignon Blanc 2011,Chile,91.0,False,False,False,False,False,False,True
1865 Single Vineyard Sauvignon Blanc 2013,Chile,90.0,False,False,False,False,False,False,True
1865 Single Vineyard Sauvignon Blanc 2014,"Leyda Valley, San Antonio Valley (Chile), Chile",90.0,False,False,False,False,False,False,True
1865 Single Vineyard Sauvignon Blanc 2015,"Leyda Valley, San Antonio Valley (Chile), Chile",91.0,False,False,False,False,False,False,True
1881 Napa Cabernet Sauvignon 2018,"Napa Valley, California",90.0,False,False,False,True,False,False,False
1924 Double Black Red Blend 2013,California,90.0,False,False,False,True,False,False,False
2 up Shiraz 2005,Australia,90.0,False,False,False,True,False,False,False
2 up Shiraz 2007,Australia,88.0,False,False,False,True,False,False,False
2 up Shiraz 2006,Australia,88.0,False,False,False,True,False,False,False
2 up Shiraz 2008,Australia,88.0,False,False,False,True,False,False,False
3 Rings Reserve Shiraz 2004,"Barossa Valley, Barossa, South Australia, Australia",96.0,False,False,False,True,False,False,False
3 Rings Reserve Shiraz 2005,"Barossa Valley, Barossa, South Australia, Australia",91.0,False,False,False,True,False,False,False
3 Rings Shiraz 2004,"Barossa Valley, Barossa, South Australia, Australia",91.0,False,False,False,True,False,False,False
3 Rings Shiraz 2007,"Barossa Valley, Barossa, South Australia, Australia",90.0,False,False,False,True,False,False,False
3 Rings Shiraz 2008,"Barossa Valley, Barossa, South Australia, Australia",90.0,False,False,False,True,False,False,False
3 Rings Shiraz 2012,"Barossa Valley, Barossa, South Australia, Australia",90.0,False,False,False,True,False,False,False
3 Rings Shiraz 2013,"Barossa Valley, Barossa, South Australia, Australia",92.0,False,False,False,True,False,False,False
3 Rings Shiraz 2014,"Barossa Valley, Barossa, South Australia, Australia",89.0,False,False,False,True,False,False,False
3 Stones Sauvignon Blanc 2008,"Marlborough, New Zealand",90.0,False,False,False,False,False,False,True
3 Stones Sauvignon Blanc 2009,"Marlborough, New Zealand",89.0,False,False,False,False,False,False,True
4 Monos Tinto 2012,Spain,92.0,False,False,False,True,False,False,False
689 Cellars Killer Drop Red Blend 2014,California,91.0,False,False,False,True,False,False,False
7 Deadly Zins Zinfandel 2015,"Lodi, California",89.0,False,False,False,True,False,False,False
7 Deadly Zins Zinfandel (375ML Half-bottle) 2015,"Lodi, California",89.0,False,False,False,True,False,False,False
7 Moons Red Blend 2016,California,89.0,False,False,False,True,False,False,False
9 Mile Road Cabernet Sauvignon 2008,Australia,90.0,False,False,False,True,False,False,False
A. Christmann Riesling Pfalz 2018,"Pfalz, Germany",90.0,False,False,False,False,False,False,True
A. Christmann Riesling Reiterpfad Hofstuck Grosses Gewachs 2015,"Pfalz, Germany",93.0,False,False,False,False,False,False,True
A Coroa Godello 2009,Spain,91.0,False,False,False,False,False,False,True
A Coroa Godello 2013,"Valdeorras, Spain",90.0,False,False,False,False,False,False,True
